10	3
Deep Blue Sea	4
Deep Impact	2
Deep Rising	5
Definitely, Maybe	3
Delicatessen	5
Demetri Martin. Person.	4
Demolition Man	1
Dennis the Menace	1
Desperado / El Mariachi	3
Despicable Me	3
Dick Tracy	3
Die Another Day	2
Die Hard 2: Die Harder	5
Die Hard	4
Die Hard: With a Vengeance	5
Dinner for Five	4
Dinner for Schmucks	3
Dirty Harry	4
Dirty Jobs	4
Dirty Pretty Things	5
Dirty Rotten Scoundrels	4
Disclosure	3
Distant	4
District 9	3
Django Unchained	5
Doctor Who	3
Doctor Zhivago	4
Dodgeball: A True Underdog Story	3
Dog Day Afternoon	4
Dogma	4
Dogville	3
Dollhouse	2
Domino	2
Donnie Darko	4
Doom	1
Double Indemnity	3
Downfall	3
Down Periscope	2
Downton Abbey	4
Down with Love	3
Dracula: Dead and Loving It	3
Drag Me to Hell	2
Dragon Ball: The Path to Power	5
Dragonfly	2
Dragonheart	3
Dragon: The Bruce Lee Story	4
Drawn Together	2
Dr. Dolittle 2	1
Dreamgirls	2
Dressed to Kill	3
Dr. Horrible's Sing-Along Blog	5
Drive Angry	1
Dr. No	3
Dr. Strangelove	5
Drunken Master	3
Duck Soup	3
Dude, Where's My Car?	2
Duel	4
Dumb and Dumber: Unrated	3
Dune	2
Dune: Extended Edition	2
Dungeons & Dragons	1
Dylan Dog: Dead of Night	1
Earthstorm	1
Eastern Promises	3
Easy A	3
Eddie Izzard: Circle	4
Eddie Izzard: Definite Article	4
Eddie Izzard: Dress to Kill	5
Eddie Izzard: Glorious	4
Eddie Izzard: Unrepeatable	4
EDtv	3
Edward Scissorhands	5
Ed Wood	4
Elizabeth	3
Elizabeth: The Golden Age	4
Elizabethtown	3
Emmanuelle	2
Empire Records: Remix! Special Fan Edition	4
Enchanted	3
Encounters at the End of the World	4
End of Days	2
Enemy at the Gates	3
Enemy Mine	3
Enigma	1
Enter the Dragon	4
Entrapment	2
Equilibrium	4
Eraser	2
Erin Brockovich	4
Escape from L.A.	3
Escape from New York	4
Escape from the Planet of the Apes	3
Eternal Sunshine of the Spotless Mind	5
E.T. the Extra-Terrestrial	3
Eurotrip	3
Evangelion 1.11: You Are (Not) Alone	5
Even Dwarfs Started Small	3
Event Horizon	4
Everybody Loves Raymond	3
Everyone Says I Love You	3
Everything Is Illuminated	3
Evita	3
Evolution	2
Excalibur	4
Executive Decision	3
eXistenZ	4
Extract	3
Eyes Wide Shut	4
Face	3
Face/Off	2
Fahrenheit 451	5
Fallen	2
Family Guy	4
Family Guy: Blue Harvest	4
Fantastic Four	1
Fantastic Four: Rise of the Silver Surfer	2
Fantastic Mr. Fox	4
Fantastic Voyage	2
Far and Away	3
Far from Heaven	3
Fargo	4
Fast & Furious	3
Fatal Attraction	3
Father of the Bride 2	3
Father of the Bride	3
Fathers' Day	2
Fear and Loathing in Las Vegas	2
Fearless	5
Femme Fatale	3
Ferris Bueller's Day Off	5
Fever Pitch	1
Fever Pitch	3
Fido	3
Field of Dreams	4
Fifteen Minutes	3
Fight Club	5
Final Fantasy: The Spirits Within	5
Final Fantasy VII: Advent Children	1
Finding Forrester	5
Finding Nemo	4
Finding Neverland	3
Firefly	5
Firewall	1
First Knight	3
Five Year Engagement	2
Flags of Our Fathers	3
Flashdance	2
Flash Gordon	2
Flatliners	4
Flawless	3
FLCL	5
Fletch	3
Flight	2
Flight of the Conchords	5
Flirting with Disaster	2
Flushed Away	4
Fool's Gold	1
For a Few Dollars More	4
Forbidden Planet	4
Forces of Nature	1
Forget Paris	4
Forgetting Sarah Marshall	4
For Love of the Game	2
Forrest Gump	4
Four Lions	4
Four Weddings and a Funeral	4
Fracture	4
Frasier	4
Fraternity House	1
French Kiss	4
Frequency	3
Frida	2
Friday Night Lights	4
Friday the 13th	3
Fried Green Tomatoes	3
Friends	4
Friends with Benefits	2
From Dusk Till Dawn	4
From Hell	3
From Russia with Love	3
Frost/Nixon	4
Full Metal Jacket	4
Funny Face	2
Funny Games	5
Funny People	4
Futurama	3
Gainsbourg	4
Galaxy Quest	2
Game of Thrones	4
